Date,Open,High,Low,Close,Adj Close,Volume
2022-03-14,930.5499877929688,938.5,917.4500122070312,931.8499755859375,890.0133666992188,1531845
2022-03-15,934.5499877929688,940.7000122070312,914.0499877929688,920.6500244140625,879.3162231445312,960407
2022-03-16,927.0,944.8499755859375,927.0,938.0499877929688,895.9349975585938,873968
2022-03-17,945.9500122070312,948.3499755859375,932.1500244140625,939.5,897.3199462890625,833784
2022-03-21,940.0,954.8499755859375,936.8499755859375,939.25,897.0811767578125,1014336
2022-03-22,939.0,960.0,926.0999755859375,954.7000122070312,911.8375244140625,1178357
2022-03-23,958.0,968.75,946.25,962.0,918.8097534179688,1470775
2022-03-24,958.5,974.9000244140625,951.1500244140625,972.7000122070312,929.0293579101562,1826181
2022-03-25,974.7000122070312,985.5,967.25,975.0999755859375,931.3215942382812,1421106
2022-03-28,980.4000244140625,980.4000244140625,951.5499877929688,956.6500244140625,913.7000122070312,1383281
2022-03-29,958.7000122070312,989.7000122070312,957.9500122070312,987.5,943.1649169921875,1627998
2022-03-30,996.8499755859375,997.0999755859375,980.0,983.9000244140625,939.7265014648438,1026192
2022-03-31,983.2999877929688,989.7999877929688,971.0,974.3499755859375,930.6052856445312,761235
2022-04-01,975.0,994.75,974.0499877929688,987.2000122070312,942.8783569335938,1154065
2022-04-04,994.6500244140625,1009.1500244140625,982.2999877929688,1001.9500122070312,956.9661865234375,1261875
2022-04-05,1007.7999877929688,1014.9500122070312,999.0499877929688,1003.75,958.6853637695312,1082989
2022-04-06,1000.0,1017.5499877929688,996.0499877929688,1000.5499877929688,955.6289672851562,1205753
2022-04-07,1001.5,1010.0,978.0,981.0,936.9567260742188,692829
2022-04-08,982.0,1005.0,982.0,999.5999755859375,954.7216186523438,676739
2022-04-11,997.9000244140625,1021.7999877929688,996.2000122070312,1006.6500244140625,961.4551391601562,1178976
2022-04-12,1005.0999755859375,1006.0,962.0,974.6500244140625,930.891845703125,1178158
2022-04-13,979.5499877929688,990.0,972.4000244140625,976.9500122070312,933.088623046875,798634
2022-04-18,967.0,990.6500244140625,952.2999877929688,988.0499877929688,943.6902465820312,808690
2022-04-19,992.0999755859375,1009.0999755859375,952.0,968.5499877929688,925.0657348632812,1149060
2022-04-20,978.0,985.75,960.0,970.3499755859375,926.7848510742188,758269
2022-04-21,975.0,987.7000122070312,973.0,983.0499877929688,938.9147338867188,485694
2022-04-22,980.0,989.0,969.5999755859375,973.2000122070312,929.5068969726562,816473
2022-04-25,960.0,965.0,930.5,936.4500122070312,894.4068603515625,1049248
2022-04-26,949.0,965.0,945.2000122070312,962.25,919.0485229492188,705947
2022-04-27,949.5999755859375,967.5,943.9500122070312,961.8499755859375,918.6664428710938,600878
2022-04-28,970.0,970.5499877929688,948.7000122070312,959.3499755859375,916.2787475585938,560736
2022-04-29,962.2999877929688,972.6500244140625,935.7999877929688,940.1500244140625,897.9407348632812,1180407
2022-05-02,970.0,1048.0,970.0,1033.0,986.6221313476562,13562497
2022-05-04,1040.449951171875,1054.199951171875,1026.050048828125,1034.550048828125,988.1026000976562,4351369
2022-05-05,1041.0,1069.949951171875,1038.0,1046.300048828125,999.3250732421875,3357200
2022-05-06,1038.800048828125,1048.949951171875,1027.550048828125,1032.5,986.1445922851562,1757289
2022-05-09,1020.0,1025.0,998.75,1007.0999755859375,961.8848876953125,1497599
2022-05-10,1003.0,1019.9500122070312,958.4000244140625,967.3499755859375,923.9195556640625,1496830
2022-05-11,969.2000122070312,994.25,950.0999755859375,988.3499755859375,943.9767456054688,2296845
2022-05-12,974.5,980.0,926.9000244140625,935.4000244140625,893.4039916992188,1294615
2022-05-13,946.0,958.0,914.25,919.25,877.9791259765625,1473361
2022-05-16,925.0,932.5499877929688,912.0499877929688,921.5999755859375,880.2235107421875,1010872
2022-05-17,927.7000122070312,974.0499877929688,925.5499877929688,971.7999877929688,928.1697998046875,1637953
2022-05-18,974.0,987.6500244140625,964.5499877929688,980.3499755859375,936.3358764648438,1334854
2022-05-19,955.0999755859375,969.2999877929688,944.2999877929688,952.0999755859375,909.3541870117188,820520
2022-05-20,968.9500122070312,994.5,964.2999877929688,989.1500244140625,944.7409057617188,1455732
2022-05-23,995.0,995.9000244140625,967.0999755859375,970.2000122070312,926.6416625976562,811232
2022-05-24,975.0,982.0,960.2000122070312,964.3499755859375,921.05419921875,1201622
2022-05-25,970.0,974.0499877929688,918.1500244140625,920.5999755859375,879.2684326171875,1039711
2022-05-26,928.0,939.7999877929688,888.9500122070312,932.25,890.3954467773438,1751250
2022-05-27,939.9000244140625,959.9000244140625,925.7999877929688,934.25,892.3056030273438,1671471
2022-05-30,949.4500122070312,959.0,942.5499877929688,949.9500122070312,907.30078125,1100892
2022-05-31,954.0,955.0,942.3499755859375,948.5,905.9158935546875,1644812
2022-06-01,952.4000244140625,958.5999755859375,938.1500244140625,945.2999877929688,902.8594970703125,1016784
2022-06-02,948.7000122070312,957.3499755859375,945.0,950.1500244140625,907.4918212890625,1260814
2022-06-03,956.0499877929688,956.7000122070312,933.0499877929688,935.7000122070312,893.6904907226562,862099
2022-06-06,935.7000122070312,948.25,924.2000122070312,946.5999755859375,904.1011352539062,1066431
